"course_title","is_paid_True","is_paid_False","price","num_subscribers","num_reviews","num_lectures","level_All Levels","level_Beginner Level","level_Intermediate Level","level_Expert Level","content_duration","subject_Business Finance","subject_Graphic Design","subject_Musical Instruments","subject_Web Development"
"MasterClass-Japanese &  Heiken Ashi CandleStick Patterns",1,0,195,375,10,26,1,0,0,0,3.5,1,0,0,0
"Start Trading Stocks Using Technical Analysis! Part 2",1,0,95,94,11,25,1,0,0,0,2,1,0,0,0
"Introduction to Corporate Finance (Mergers & Acquisitions)",0,1,0,2080,83,30,0,1,0,0,1.5,1,0,0,0
"Forex & Financial Market Trading Tutorial- Online Strategies",0,1,0,3137,30,69,1,0,0,0,9,1,0,0,0
"Learn to trade Candlestick Patterns",1,0,20,155,23,22,0,0,1,0,1.5,1,0,0,0
"High-Frequency Trading #2: Market Structure & Instruments",1,0,50,1732,11,12,1,0,0,0,0.683333333333333,1,0,0,0
"The Art Of Financial Valuation With Certificate",1,0,20,3372,12,12,1,0,0,0,2,1,0,0,0
"Sensitivity & Scenario Analysis for CA / CFA / CPA Exams",1,0,20,2185,3,13,1,0,0,0,2,1,0,0,0
"Economics:   Competition, Elasticity, a little Game Theory",1,0,50,1008,14,42,1,0,0,0,6,1,0,0,0
"Quantitative Trading Analysis with Python",1,0,50,256,17,49,1,0,0,0,5.5,1,0,0,0
"Invest Like a Pro!",1,0,200,1173,22,15,0,1,0,0,2.5,1,0,0,0
"Options Trading Essentials: The ULTIMATE Guides",0,1,0,1352,6,20,1,0,0,0,4,1,0,0,0
"ACCA FA1 Recording Financial Transactions",1,0,50,49,8,27,0,1,0,0,3.5,1,0,0,0
"CFA® Level 1 2014 – Portfolio Management",1,0,40,124,2,10,1,0,0,0,2,1,0,0,0
"Essentials Of Swing Trading Stocks",1,0,20,105,9,5,1,0,0,0,1,1,0,0,0
"Small Business and Managerial Accounting Training Tutorial",1,0,20,117,3,71,0,1,0,0,3.5,1,0,0,0
"Use Crowdfunding Effectively With Indiegogo and Kickstarter",0,1,0,6533,32,9,1,0,0,0,2,1,0,0,0
"The Complete Litecoin Crypto Currency Bootcamp",1,0,20,7,3,24,1,0,0,0,1,1,0,0,0
"Bank Reconciliation & VAT on Excel",1,0,20,30,5,19,1,0,0,0,1.5,1,0,0,0
"Commodity Futures Day Trading Strategies",1,0,95,91,5,28,1,0,0,0,5,1,0,0,0
"Learn to invest in the Stock Market",1,0,40,28,5,14,0,1,0,0,1,1,0,0,0
"FX Commodity Chart Trading Patterns for Success",1,0,50,83,10,15,1,0,0,0,2.5,1,0,0,0
"Forex Elite Trading",1,0,85,623,7,22,1,0,0,0,6,1,0,0,0
"How to Invest in Startups - Expert Reveals Winning Secrets.",0,1,0,1625,5,145,1,0,0,0,8.5,1,0,0,0
"Kickstarter success in 5 easy steps",1,0,20,0,0,12,1,0,0,0,0.516666666666667,1,0,0,0
"Understanding Financial Statements",1,0,25,0,0,10,1,0,0,0,1,1,0,0,0
"Planning and Executing a Financial Statement Audit",1,0,50,0,0,9,0,0,1,0,2,1,0,0,0
"The Latest Updates 2016 Financial Accounting Standards Board",1,0,50,1,0,9,0,0,1,0,2,1,0,0,0
"How to achieve personal transformation",1,0,20,0,0,10,1,0,0,0,0.533333333333333,1,0,0,0
"Basic Bookkeeping",1,0,35,0,0,12,0,1,0,0,0.733333333333333,1,0,0,0
"Credit concepts and checklist for bankers, credit analyst",1,0,20,0,0,10,0,1,0,0,2.5,1,0,0,0
"Practical Film Financing: Finding & Pitching Investors",1,0,100,0,0,9,0,1,0,0,1,1,0,0,0
"Ratio Analysis for Financial Statements",1,0,50,0,0,6,0,1,0,0,2,1,0,0,0
"60 Minutes to Fundamental Accounting Skills",1,0,75,0,0,9,0,1,0,0,2.5,1,0,0,0
"Essentials of money value: Get a financial Life !",1,0,20,0,0,20,1,0,0,0,0.616666666666667,1,0,0,0
"Introduction to Forex Trading Business For Beginners",1,0,20,0,0,27,0,1,0,0,1.5,1,0,0,0
"Backspreads, Diagonals and Butterflies - Advanced Strategies",1,0,60,737,41,10,0,0,0,1,2,1,0,0,0
"Trade Forex 13 Patterns - Golden Ratios Secret Revealed",1,0,200,554,63,44,1,0,0,0,4,1,0,0,0
"Crystal ball trading - foresee price with seasonal patterns",1,0,145,807,19,23,1,0,0,0,6,1,0,0,0
"Weekly Options and study of Options expiration dynamics",1,0,60,779,56,6,0,0,0,1,1,1,0,0,0
"Cost Accounting Basics (Professional Course Level)",1,0,20,1777,11,23,0,1,0,0,1,1,0,0,0
"Learn to Reliably Invest In The Stock Market",1,0,50,841,14,19,1,0,0,0,0.616666666666667,1,0,0,0
"Hedge Fund Trading Systems Part Two - Stocks & ETFs",1,0,200,56,10,23,0,0,0,1,2.5,1,0,0,0
"Stock Market Option Trading: How Sell Options For Premium",1,0,200,1909,8,19,0,0,1,0,2,1,0,0,0
"Straddles and Strangles - Volatility moves in any direction",1,0,60,775,54,11,0,0,0,1,1.5,1,0,0,0
"Debt Collection Management: Get Paid On Time EVERY TIME!",1,0,20,1255,8,38,1,0,0,0,3,1,0,0,0
"Learn about it",1,0,20,1193,24,27,1,0,0,0,1.5,1,0,0,0
"Trading: Basics of Trading for Beginners",1,0,140,1309,4,20,0,1,0,0,1.5,1,0,0,0
"Options Spreads Bundle-  the heart of Options Trading",1,0,120,623,43,8,0,0,1,0,2.5,1,0,0,0
"Trade the News in Forex: EA Robot Included",1,0,200,276,11,11,1,0,0,0,0.566666666666667,1,0,0,0
"Investment Portfolio Analysis with R",1,0,50,314,38,37,1,0,0,0,6.5,1,0,0,0
"Basics of Economics For Beginners A to Z - A Complete Course",1,0,170,1942,5,24,0,1,0,0,1.5,1,0,0,0
"Seeing the Big Picture: Understanding Financial Statements",1,0,50,885,69,14,1,0,0,0,0.716666666666667,1,0,0,0
"Financial Modeling for Professionals in 1 Day!",1,0,200,226,12,29,0,0,1,0,4.5,1,0,0,0
"Create Your Own Automated Stock Trading Robot In EXCEL!",1,0,150,461,45,44,1,0,0,0,5,1,0,0,0
"FOREX: From Zero To Hero",1,0,150,152,27,26,1,0,0,0,3,1,0,0,0
"Learn Call Options and Put Options - Introduction to Options",1,0,60,1017,74,20,0,1,0,0,3,1,0,0,0
"1. Principles of Simple Interest ",1,0,20,1074,6,13,1,0,0,0,1,1,0,0,0
"Double Entry Bookkeeping",1,0,50,440,17,10,0,1,0,0,1,1,0,0,0
"MQL5 Tutorial Bootcamp",1,0,20,978,7,13,0,1,0,0,0.533333333333333,1,0,0,0
"Succeed at Options Even If You Don't Know Where to Start",1,0,200,36,1,12,1,0,0,0,1.5,1,0,0,0
"Buying, Selling, and Storing Precious Metal",1,0,20,74,1,14,1,0,0,0,1,1,0,0,0
"Accounting Skills for Managers",1,0,20,78,3,10,0,1,0,0,1.5,1,0,0,0
"Analysis and Evaluation of Economic Feasibility of Projects",1,0,100,10,1,8,0,0,1,0,1,1,0,0,0
"Technical Analysis: Understanding Price Action",1,0,45,39,6,37,1,0,0,0,3,1,0,0,0
"Bitcoin For Beginners",1,0,50,37,3,22,0,1,0,0,4,1,0,0,0
"IAS 16-Property,Plant and Equipment ",0,1,0,2166,38,20,1,0,0,0,3,1,0,0,0
"Basel II",1,0,50,78,6,57,1,0,0,0,3.5,1,0,0,0
"Forex Trading Plan",1,0,50,21,3,24,1,0,0,0,0.7,1,0,0,0
"Financial Modeling 101",0,1,0,1086,37,5,0,1,0,0,0.616666666666667,1,0,0,0
"Learn Financial Modeling from Scratch - Part1",1,0,50,7,4,29,1,0,0,0,3.5,1,0,0,0
"Introduction to Small Business Accounting Training Tutorial",1,0,25,168,9,75,0,1,0,0,3.5,1,0,0,0
"Learn Basic Concepts of Economics Step by Step - Complete",1,0,150,2801,6,25,1,0,0,0,1.5,1,0,0,0
"Introduction to Digital Payments ",0,1,0,12217,351,17,0,1,0,0,1,1,0,0,0
"The Beginner's Guide to the Futures and Options Trading",0,1,0,6185,138,20,1,0,0,0,3,1,0,0,0
"Bitcoin Investing: The Complete Buy & Hold Strategy",1,0,25,477,70,41,1,0,0,0,4,1,0,0,0
"Financial Modeling in Excel for Startups",1,0,50,1334,86,54,0,1,0,0,6,1,0,0,0
"Learn to Trade Forex Naked Price Action Big Shadow Trade",0,1,0,5407,192,11,0,0,1,0,1,1,0,0,0
"Forex Trading For Beginners ",0,1,0,9483,183,22,0,1,0,0,2,1,0,0,0
"Build a Trading Comps Valuation Model",1,0,50,1032,60,55,1,0,0,0,7,1,0,0,0
"The Advanced Forex Course for Smart Traders",0,1,0,8236,144,25,1,0,0,0,5,1,0,0,0
"Cost Accounting Overheads (Professional Course Level)",1,0,20,2383,6,19,1,0,0,0,2.5,1,0,0,0
"Beginners Guide to Stock Market Investing",0,1,0,3283,109,42,0,1,0,0,2.5,1,0,0,0
"Financial Management Capital Market Instruments",1,0,25,2650,5,17,0,1,0,0,1,1,0,0,0
"NPV and IRR Techniques for CA / CFA / CPA Exams",1,0,20,1551,5,55,0,1,0,0,7.5,1,0,0,0
"Commercial Credit Analysis",1,0,50,545,48,42,1,0,0,0,7.5,1,0,0,0
"Essential Finance For Managers",1,0,25,663,10,79,1,0,0,0,5.5,1,0,0,0
"Bitcoin for Accountants",0,1,0,3519,102,6,0,1,0,0,1,1,0,0,0
"ProTrader -  Advanced Technical Analysis",1,0,125,825,11,34,1,0,0,0,2,1,0,0,0
"Binary Options Masterclass",1,0,200,70,11,16,1,0,0,0,2,1,0,0,0
"188% Profit in 1Year - Forex ALGO Robot Trading no indicator",1,0,120,357,71,20,1,0,0,0,2,1,0,0,0
"Financial Accounting, its Cycle, Statements & Analysis",1,0,20,853,4,35,0,1,0,0,5,1,0,0,0
"Yield Curve Dynamics",1,0,50,397,24,19,1,0,0,0,3,1,0,0,0
"Value Investing and Stock Market Fundamentals",1,0,195,74,8,17,0,1,0,0,3,1,0,0,0
"Media Training for Financial Service Professionals",1,0,20,1254,2,64,1,0,0,0,7,1,0,0,0
"Learn the Forex Naked Price Action Pogo Trade",1,0,60,89,4,10,0,0,1,0,1,1,0,0,0
"Forex - Price action Reversal Strategy",1,0,20,38,6,16,1,0,0,0,1,1,0,0,0
"Budget preparation for an EU project proposal",1,0,50,18,4,5,0,0,1,0,1,1,0,0,0
"Corporate Finance and Alternative Investment for CFA L1",1,0,20,103,3,27,1,0,0,0,4.5,1,0,0,0
"Don't Let Your Customers Run Your Business",1,0,50,7,3,28,0,0,1,0,2.5,1,0,0,0
"Stock Trading: Insider Tips For Determining Market Direction",1,0,95,104,1,11,1,0,0,0,1,1,0,0,0
"TopTrader Academy - Complete Options Course",1,0,150,42,1,11,1,0,0,0,3,1,0,0,0
"Working Capital Management for Entrepreneurs",1,0,20,507,5,15,0,0,0,1,1,1,0,0,0
"Learn Quickbooks to maintain books properly",1,0,20,241,5,26,0,1,0,0,2.5,1,0,0,0
"CFA Level I Foundation: Introduction to Financial Reporting",1,0,50,226,5,13,0,1,0,0,5.5,1,0,0,0
"Fixed Income Valuation and Analysis, CFA L2",1,0,20,50,6,12,1,0,0,0,3,1,0,0,0
"Corporation Tax Returns UK",1,0,50,100,23,25,1,0,0,0,2,1,0,0,0
"Trading For Busy People",1,0,50,99,12,26,1,0,0,0,3,1,0,0,0
"Basics of Trading",1,0,40,99,17,27,0,1,0,0,1,1,0,0,0
"CFP - Introduction to Financial Planning",1,0,30,1192,12,38,0,1,0,0,12,1,0,0,0
"Investment Portfolio Analysis with Python",1,0,50,209,13,37,1,0,0,0,7,1,0,0,0
"Day Trading Market Structure Signals",0,1,0,5529,90,5,1,0,0,0,2,1,0,0,0
"Professional Bookkeeping and Accounting 3: Double Entry ",1,0,35,81,8,33,1,0,0,0,1,1,0,0,0
"Accounting Basics by Hector Garcia, CPA",0,1,0,1924,120,5,0,1,0,0,1,1,0,0,0
"Stock Markets: How I Became Rich By Changing How I Trade",1,0,20,646,6,17,1,0,0,0,1,1,0,0,0
"Learn About Bitcoin and Bitcoin Mining",1,0,20,520,10,9,0,1,0,0,0.533333333333333,1,0,0,0
"Take Control By Learning The Stock Market Now",1,0,30,1440,0,21,0,1,0,0,1,1,0,0,0
"Cost Accounting and Financial Management - A Complete Study",1,0,150,452,14,444,1,0,0,0,45,1,0,0,0
"Learn Global Macro Trading & Investing for Retail Investor",1,0,75,178,16,27,1,0,0,0,1.5,1,0,0,0
"Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause",1,0,50,21,2,54,1,0,0,0,1.5,1,0,0,0
"high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس",1,0,100,12,4,17,0,0,1,0,2.5,1,0,0,0
"TRADER BOT: Introdução à Linguagem MQL5",1,0,20,209,33,33,1,0,0,0,70,1,0,0,0
"财务分析与估值建模入门",0,1,0,505,43,10,0,1,0,0,1.5,1,0,0,0
"Aprende desde cero a operar el mercado de divisas FOREX",1,0,90,16,4,24,1,0,0,0,4,1,0,0,0
"Cómo usar Metatrader 4 para hacer trading?",1,0,20,25,1,25,1,0,0,0,6,1,0,0,0
"Zoho Books Gestion Financière d'Entreprise pas à pas",0,1,0,229,0,33,1,0,0,0,2,1,0,0,0
"Aprende a llevar la contabilidad de forma informatizada",1,0,25,6,1,27,0,1,0,0,4.5,1,0,0,0
"Psicología del trading",1,0,20,1,1,6,1,0,0,0,0.6,1,0,0,0
"La costruzione del budget di una proposta comunitaria",1,0,50,10,1,5,0,0,1,0,1,1,0,0,0
"Erfolgreich als Signalgeber/in, per Social- und Copytrading",1,0,60,1,1,33,1,0,0,0,6,1,0,0,0
"Aprenda  a Investir",1,0,20,34,4,9,1,0,0,0,8,1,0,0,0
"Teeter-Totter Accounting",1,0,90,0,0,12,0,1,0,0,1,1,0,0,0
"beginning accounting",1,0,20,0,0,12,0,0,1,0,0.633333333333333,1,0,0,0
"Stop Creditors from Harassing you and Avoid Bankruptcy",1,0,20,0,0,7,0,1,0,0,0.616666666666667,1,0,0,0
"Learn to trade using technical analysis",1,0,50,0,0,6,0,0,1,0,0.533333333333333,1,0,0,0
"How to Invest Using ETFs from Former Wall Street Trader",1,0,200,0,0,10,1,0,0,0,2,1,0,0,0
"Workshop on Banking Credit Analysis Process",1,0,100,0,0,7,1,0,0,0,1.5,1,0,0,0
"The Cuckoo Strategy to get European Funding",1,0,160,0,0,6,1,0,0,0,1,1,0,0,0
"Accounting - The 6 most important rules you must learn",1,0,20,0,0,9,1,0,0,0,1,1,0,0,0
"Mutual Funds for Investors in Retirement Accounts",1,0,20,0,0,0,1,0,0,0,0,1,0,0,0
"Free Ways to Create Passive Income Online",1,0,25,0,0,27,0,1,0,0,1,1,0,0,0
"Understanding Financial Statements",1,0,25,0,0,10,1,0,0,0,1,1,0,0,0
"The Cash Flow Statement - An Introduction",1,0,50,0,0,10,0,1,0,0,1.5,1,0,0,0
"Options Foundation - Time Decay, Implied Volatility, Greeks",1,0,60,459,25,14,0,1,0,0,3,1,0,0,0
"Buying Call and Put Options - Options beginner strategies",1,0,60,266,20,14,0,0,1,0,3,1,0,0,0
"How To Trade RSI Pullback Strategy: Entry To Exit (Forex)",1,0,150,104,10,21,1,0,0,0,2,1,0,0,0
"Valuation of Goodwill for CA / CFA / CMA Exams",1,0,20,1509,0,9,1,0,0,0,0.716666666666667,1,0,0,0
"Forex - Catch the Big Market Moves in Forex",1,0,20,212,25,14,0,0,1,0,1.5,1,0,0,0
"SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots",1,0,25,462,18,34,1,0,0,0,1,1,0,0,0
"Intermediate Accounting 1: Easy. Fast. Simple!",1,0,200,90,12,35,0,0,1,0,2.5,1,0,0,0
"Global Macro Investing - Take Control Of The World's Markets",1,0,30,153,41,27,0,0,1,0,2,1,0,0,0
"How to Read a Balance Sheet",1,0,50,1055,21,64,0,1,0,0,3.5,1,0,0,0
"Credit Repair from a Financial Institution",1,0,20,157,13,9,1,0,0,0,2.5,1,0,0,0
"The Binary Institute -  Binary Options Trading Course",1,0,200,103,25,12,1,0,0,0,2.5,1,0,0,0
"Mental Models For Wall Street - Become A Better Trader",0,1,0,1067,50,35,1,0,0,0,2,1,0,0,0
"株式投資に向く性格に変えるための心理学を学ぶ",1,0,20,58,11,28,1,0,0,0,1.5,1,0,0,0
"Matemática Financeira com HP12C e MS Excel",1,0,20,74,17,30,0,1,0,0,4.5,1,0,0,0
"¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!",0,1,0,338,7,6,0,1,0,0,1,1,0,0,0
"Cómo Crear Políticas Contables bajo NIIF para PYMES",1,0,20,27,5,6,1,0,0,0,1,1,0,0,0
"Finanzas Personales para Vivir Libre de Deudas",1,0,75,76,13,77,0,1,0,0,6,1,0,0,0
"Finanzas personales: Logrando la Libertad Financiera",1,0,30,27,5,12,0,1,0,0,2,1,0,0,0
"株式投資で本当のテクニカル分析ができるようになる",1,0,20,68,10,45,0,0,1,0,2.5,1,0,0,0
"Aktiver Vermögensaufbau mit ETF",1,0,20,112,18,33,0,1,0,0,2,1,0,0,0
"Socorro! Preciso Organizar as Minhas Finanças!",1,0,20,72,17,37,1,0,0,0,1.5,1,0,0,0
"Curso Completo de Opciones Binarias: Estrategias 90% Acierto",1,0,145,335,16,26,1,0,0,0,1.5,1,0,0,0
"Le basi del Trading",1,0,200,22,5,18,1,0,0,0,3.5,1,0,0,0
"【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本",1,0,30,41,3,37,0,1,0,0,3,1,0,0,0
"Profit and Loss Account for bankers and credit analysts",1,0,20,1,0,31,0,1,0,0,7.5,1,0,0,0
"Business Accounts For Managers",1,0,30,16,0,23,0,1,0,0,3,1,0,0,0
"Black Scholes Option Pricing Model",1,0,25,3,0,10,0,1,0,0,1,1,0,0,0
"Chief Wealth Officer",1,0,45,4,0,7,0,1,0,0,1,1,0,0,0
"Practical Accounts Training A",1,0,35,2,0,127,0,0,1,0,31.5,1,0,0,0
"International Trade and New Geographic Economy",1,0,20,12,1,6,1,0,0,0,0.533333333333333,1,0,0,0
"2. Principles of Simple Interest - advanced problems",1,0,20,10,1,12,0,0,1,0,1.5,1,0,0,0
"School of Raising Capital: Agile Financial Modeling",1,0,20,12,1,11,1,0,0,0,1.5,1,0,0,0
"How to Read Financial Statements",1,0,20,5,2,59,0,1,0,0,2,1,0,0,0
"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",1,0,20,1,0,13,1,0,0,0,3,1,0,0,0
"Reach Your Personal Financial Goals the Easy Way (2017 UK)",1,0,95,2,0,59,1,0,0,0,4.5,1,0,0,0
"Bitesize Bookkeeping for busy people",1,0,20,9,0,13,0,1,0,0,1.5,1,0,0,0
"Do Your Own Accounts",1,0,35,42,2,13,1,0,0,0,1.5,1,0,0,0
"CFA Level 1 - Derivatives",1,0,30,110,6,25,1,0,0,0,4,1,0,0,0
"Accounting for everyone! ",1,0,35,420,2,14,0,1,0,0,1,1,0,0,0
"Stock Fundamental Analysis with Excel",1,0,50,206,13,50,1,0,0,0,10,1,0,0,0
"Financial Accounting For Beginners",1,0,60,164,3,22,1,0,0,0,1.5,1,0,0,0
"Trading: How Transformative Learning Drives Expertise",1,0,30,69,2,16,1,0,0,0,1,1,0,0,0
"Manual Bookkeeping",1,0,20,28,2,26,0,0,1,0,2.5,1,0,0,0
"Numeracy skills in business and everyday life:Think and Deal",1,0,20,90,4,15,0,1,0,0,0.633333333333333,1,0,0,0
"Financial Modelling in Excel Step by Step",1,0,20,13,2,17,0,0,1,0,1.5,1,0,0,0
"Straight From Business School: Create Financial Statements",1,0,20,31,2,5,0,1,0,0,1,1,0,0,0
"How To Pay Less Tax (UK version)",1,0,50,13,2,98,1,0,0,0,0.516666666666667,1,0,0,0
"Interpreting financial statements",0,1,0,2119,111,54,1,0,0,0,2,1,0,0,0
"Forex trading with binary options",1,0,25,136,28,21,1,0,0,0,3,1,0,0,0
"Triple P Trading Course",1,0,20,797,15,16,1,0,0,0,3,1,0,0,0
"Cost Accounting - A Comprehensive Study",1,0,180,503,43,286,1,0,0,0,29.5,1,0,0,0
"How to become a successful day trader",1,0,95,1150,6,27,1,0,0,0,2.5,1,0,0,0
"Essentials of Finance and Investment in 2 hours",1,0,20,1403,6,14,0,1,0,0,2,1,0,0,0
"Public Speaking: You Can Give Great Financial Presentations",1,0,20,916,6,23,1,0,0,0,6.5,1,0,0,0
"Professional Trading - Consistent Profits with Low Risk!",1,0,20,627,5,27,1,0,0,0,1,1,0,0,0
"Trading for winning",1,0,200,168,7,27,1,0,0,0,2,1,0,0,0
"Succeed in Stocks Even if you Don't Know Where to Start",0,1,0,2554,20,10,0,1,0,0,1,1,0,0,0
"Options Basics & Trading With Small Capital! - Level 1",1,0,30,120,17,19,0,1,0,0,2,1,0,0,0
"Forex trading Basic to advance Professional Level course",1,0,20,750,13,28,1,0,0,0,2.5,1,0,0,0
"Day Trading in Stocks: Strategies for Beginner Investors",1,0,50,217,19,9,1,0,0,0,2,1,0,0,0
"Learn to Trade Forex Big U-Turn Trade",1,0,50,106,13,12,0,1,0,0,1,1,0,0,0
"Technical Analysis Primer for trading Stocks, Bonds & Forex",1,0,50,397,4,36,0,1,0,0,3,1,0,0,0
"DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise",1,0,20,44,3,8,1,0,0,0,1,1,0,0,0
"Stock Trading with this Strategy",1,0,50,30,3,6,1,0,0,0,1,1,0,0,0
"The Psychology of Trading",1,0,20,95,3,20,1,0,0,0,1,1,0,0,0
"Professional Forex Strategy+2 weeks for FREE trading alerts",1,0,95,55,9,15,1,0,0,0,1,1,0,0,0
"Stock Trading Essentials for Day Traders",1,0,100,94,15,9,1,0,0,0,1,1,0,0,0
"Basics of Finance and Budgeting",1,0,20,578,7,34,0,1,0,0,6,1,0,0,0
"Portfolio Management CFA L1 2016",1,0,20,393,5,34,1,0,0,0,5,1,0,0,0
"Trade Stocks, Forex & Financial Markets like a Professional",1,0,20,116,6,12,1,0,0,0,3,1,0,0,0
"The Tax Advantaged Investor: A Guide to Legal Tax Reduction!",0,1,0,1888,42,25,1,0,0,0,2,1,0,0,0
"The Smart Option Trader",1,0,45,412,19,74,1,0,0,0,13,1,0,0,0
"Beginners Chart Patterns Trading for Penny Stocks",1,0,200,40,7,26,0,1,0,0,1.5,1,0,0,0
"Financial Statements: Learn Accounting. Unlock the Numbers.",1,0,40,222,12,35,0,1,0,0,3,1,0,0,0
"CFA® Level 1 2014 – Alternative Investments",1,0,30,831,1,13,1,0,0,0,2,1,0,0,0
"Interest Rate Swaps",1,0,50,485,24,20,1,0,0,0,3.5,1,0,0,0
"Financial Modelling for entrepreneurs",1,0,20,232,7,17,1,0,0,0,1,1,0,0,0
"Economics - CFA Level 1 - 2014",1,0,20,135,20,24,0,1,0,0,4,1,0,0,0
"Bookkeeping Made Simple",1,0,40,61,16,22,1,0,0,0,2.5,1,0,0,0
"What is Bitcoin",1,0,20,61,3,27,1,0,0,0,5,1,0,0,0
"Accounting for CA CPT Exams Part I",1,0,50,874,2,120,1,0,0,0,13.5,1,0,0,0
"Raising Capital for Your Business",1,0,50,22,5,60,1,0,0,0,2.5,1,0,0,0
"Silver, Gold, and Inflation",0,1,0,5597,76,11,0,1,0,0,1,1,0,0,0
"Accounting Concepts For Technocrats",1,0,20,261,2,35,0,1,0,0,2.5,1,0,0,0
"Beginner Financial Analysis: Invest Like Warren Buffett",1,0,50,83,4,19,0,1,0,0,0.683333333333333,1,0,0,0
"Advance Technical Analysis",1,0,50,152,6,14,0,0,0,1,3.5,1,0,0,0
"The Everyday Investor: Building Wealth with Venture Capital",1,0,20,176,2,12,0,0,1,0,2.5,1,0,0,0
"QuickBooks Online : Inventory Management For Non-Finance",1,0,35,8,4,10,1,0,0,0,0.666666666666667,1,0,0,0
"Law Matters",1,0,20,327,1,12,0,1,0,0,0.45,1,0,0,0
"Learn to Trade for Profit: Finding Winning Stocks - Chinese",1,0,95,264,0,79,1,0,0,0,3,1,0,0,0
"Financial Accounting Part 2 - Passing The Class",1,0,20,15,4,36,0,1,0,0,4.5,1,0,0,0
"Simple Options Trading System",1,0,35,104,2,16,0,0,1,0,1.5,1,0,0,0
"Investments and Financial Markets",1,0,40,71,3,19,0,1,0,0,1.5,1,0,0,0
"Legal Accounting",1,0,110,26,6,49,1,0,0,0,4,1,0,0,0
"Term Loan Appraisal for bankers, credit analysts",1,0,20,11,2,28,0,1,0,0,6.5,1,0,0,0
"Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping",1,0,20,1294,7,58,0,1,0,0,5.5,1,0,0,0
"Trade Show Samurai",1,0,95,32,7,7,1,0,0,0,0.516666666666667,1,0,0,0
"Forex Harmonic Trading- With Multiple Forex Chart Examples",1,0,135,313,16,25,1,0,0,0,2.5,1,0,0,0
"The Cost of Capital: The Key To Attract Venture Capitalists",1,0,50,635,4,6,1,0,0,0,0.683333333333333,1,0,0,0
"Accounting for School Students",1,0,30,1311,2,12,1,0,0,0,1.5,1,0,0,0
"Learn To Trade The Forex Naked Price Action Acapulco Trade",1,0,70,288,9,13,0,0,1,0,1,1,0,0,0
"Certificate in MYOB AccountRight Premier 2017 Course",1,0,200,97,18,29,1,0,0,0,3,1,0,0,0
"Master The Psychology of Forex & Binary Options Trading",1,0,20,53,16,7,0,0,1,0,1,1,0,0,0
"Learn to Pick the Right Stock Broker Account",1,0,40,1102,3,14,0,1,0,0,0.566666666666667,1,0,0,0
"Profit During Crashing Markets: A Step-by-Step Guide",1,0,195,57,11,18,1,0,0,0,1,1,0,0,0
"Introduction to Futures & Options",1,0,50,694,35,27,1,0,0,0,4.5,1,0,0,0
"Learn To Invest In 7 Steps",1,0,50,137,14,21,0,1,0,0,3,1,0,0,0
"Sell like a Pro: Insider Secrets of Successful Selling!",1,0,115,12,1,25,1,0,0,0,2.5,1,0,0,0
"3 Little Pigs: A Multiple Timeframe Forex Trading Strategy",1,0,20,18,0,6,1,0,0,0,1.5,1,0,0,0
"6. Annuities Due and Deferred",1,0,20,170,0,16,1,0,0,0,1.5,1,0,0,0
"CFA® Level 1 2014 – Quantitative Methods",1,0,50,119,0,27,1,0,0,0,5,1,0,0,0
"IFRIC 13-Customer Loyalty Programmes (Revenue)",0,1,0,2058,22,6,1,0,0,0,0.6,1,0,0,0
"FOREX Currency Trading For Beginners",1,0,25,35,2,28,0,1,0,0,4,1,0,0,0
"Basic Technical Analysis",1,0,50,40,1,27,0,1,0,0,2.5,1,0,0,0
"Forex:Trade Management & Psychology",1,0,150,13,0,19,0,0,1,0,2,1,0,0,0
"Working Capital assessment for bankers, credit analysts",1,0,20,4,0,29,0,1,0,0,7,1,0,0,0
"CFA Level I Workshop 6: Alternatives, PM and Economics ",1,0,20,71,1,5,1,0,0,0,1,1,0,0,0
"CFA Level I Workshop 3: Financial Reporting & Analysis II",1,0,20,71,1,5,1,0,0,0,1,1,0,0,0
"How to trade in the Forex market",1,0,200,6,0,39,0,0,1,0,2.5,1,0,0,0
"Bookkeeping Practicals with Software",1,0,35,1,0,130,0,0,1,0,31.5,1,0,0,0
"8 Steps To Achieve Financial Freedom And Escape Debt",1,0,40,5,0,48,0,1,0,0,5.5,1,0,0,0
"Trading Basics in 30 minutes",1,0,50,1,0,6,0,1,0,0,0.533333333333333,1,0,0,0
"Technical Charting",1,0,20,4,1,6,0,0,1,0,1,1,0,0,0
"Profits Turbo",1,0,20,10,0,7,0,0,1,0,5.5,1,0,0,0
"Nest Egg Investing",1,0,45,6,0,12,0,1,0,0,2,1,0,0,0
"Economics for beginners - Various Concepts",1,0,25,2,0,34,0,1,0,0,2.5,1,0,0,0
"Investing in Stocks & Shares",1,0,20,2,0,24,0,1,0,0,2,1,0,0,0
"Learn Financial Modeling from Scratch - Part 2",1,0,50,2,1,27,1,0,0,0,3.5,1,0,0,0
